Number,image,AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,FORM,TYPE,SCHOOL,TIMEFRAME,removed
12916,https://www.wga.hu/detail/d/durer/2/12/3largep/09largep.jpg,"D?RER, Albrecht","(b. 1471, N?rnberg, d. 1528, N?rnberg)",The Large Passion: 9. Last Supper,1510,"Woodcut, 39 x 28 cm","Graphische Sammlung Albertina, Vienna",graphics,religious,German,1501-1550,There are 13 apostles around the table.
12959,https://www.wga.hu/detail/d/durer/2/12/8triumph/06triump.jpg,"D?RER, Albrecht","(b. 1471, N?rnberg, d. 1528, N?rnberg)",Triumphal Arch (detail),1515-17,Woodcut,"Germanisches Nationalmuseum, Nuremberg",graphics,mythological,German,1501-1550,The picture shows the Inscription tablet with the stag's skin.
13037,https://www.wga.hu/detail/d/durer/2/13/4/090.jpg,"D?RER, Albrecht","(b. 1471, N?rnberg, d. 1528, N?rnberg)",The Peasant and His Wife at the Market,1519,"Engraving, 116 x 73 mm","Metropolitan Museum of Art, New York",graphics,genre,German,1501-1550,It is devoid of any landscape in the background.
13140,https://www.wga.hu/detail/d/dyck_van/1portrai/portrman.jpg,"DYCK, Sir Anthony van","(b. 1599, Antwerpen, d. 1641, London)",Portrait of a Man,1618,"Oil on panel, 106 x 74 cm","Liechtenstein Museum, Vienna",painting,portrait,Flemish,1601-1650,This portrait represents an unknown sitter at the age of 57.
13225,https://www.wga.hu/detail/zearly/1/2mural/2marcell/marcel04.jpg,"EARLY CHRISTIAN PAINTER, Italian",(active in 2nd century in Rome),Ceiling decoration (detail),2nd century,Fresco,"Catacombs of Marcellinus and Peter, Rome",painting,religious,Italian,0201-0250,It depicts the prophet Jonah being thrown into the sea.
13228,https://www.wga.hu/detail/zearly/1/2mural/2marcell/marcel07.jpg,"EARLY CHRISTIAN PAINTER, Italian",(active in 2nd century in Rome),Ceiling decoration (detail),2nd century,Fresco,"Catacombs of Marcellinus and Peter, Rome",painting,religious,Italian,0201-0250,The picture shows a figure in prayer.
13229,https://www.wga.hu/detail/zearly/1/2mural/2marcell/marcel08.jpg,"EARLY CHRISTIAN PAINTER, Italian",(active in 2nd century in Rome),Ceiling decoration (detail),2nd century,Fresco,"Catacombs of Marcellinus and Peter, Rome",painting,religious,Italian,0201-0250,The picture shows the Good Shepherd.
13230,https://www.wga.hu/detail/zearly/1/2mural/2marcell/marcel09.jpg,"EARLY CHRISTIAN PAINTER, Italian",(active 3rd century in Rome),Ceiling decoration (detail),3rd century,Fresco,"Catacombs of Marcellinus and Peter, Rome",painting,religious,Italian,0201-0250,The detail shows the scene Daniel in the Lions' Den.
13241,https://www.wga.hu/detail/zearly/1/2mural/3priscil/1greek8.jpg,"EARLY CHRISTIAN PAINTER, Italian",(active in 3rd century in Rome),Adoration of the Magi,3rd century,Fresco,"Catacombs of Priscilla, Rome",painting,religious,Italian,0201-0250,The picture shows the scene of Adoration of the Magi.
13253,https://www.wga.hu/detail/zearly/1/2mural/3priscil/4prisci1.jpg,"EARLY CHRISTIAN PAINTER, Italian",(active in 3rd century in Rome),Madonna with a Prophet,3rd century,Fresco,"Catacombs of Priscilla, Rome",painting,religious,Italian,0201-0250,This fresco depicts the Madonna in dialogue with a prophet.
13258,https://www.wga.hu/detail/zearly/1/2mural/4callist/callist4.jpg,"EARLY CHRISTIAN PAINTER, Italian",(active in 3rd century in Rome),Orants,3rd century,Fresco,"Catacombs of St Callixtus, Rome",painting,religious,Italian,0201-0250,The picture shows praying figures.
13279,https://www.wga.hu/detail/zearly/1/1sculptu/capitals/4cister1.jpg,"EARLY CHRISTIAN SCULPTOR, Byzantine",(active 532-565 in Constantinople),Capital,532-65,Stone,"Basilica Cistern, Istanbul",sculpture,religious,Other,0501-0550,A Naturalistic representation of the acanthus leaves.
13280,https://www.wga.hu/detail/zearly/1/1sculptu/capitals/4cister2.jpg,"EARLY CHRISTIAN SCULPTOR, Byzantine",(active 532-565 in Constantinople),Capital,532-65,Stone,"Basilica Cistern, Istanbul",sculpture,religious,Other,0501-0550,A Naturalistic representation of the acanthus leaves.
13292,https://www.wga.hu/detail/zearly/1/1sculptu/various/4diptic4.jpg,"EARLY CHRISTIAN SCULPTOR, Byzantine",(active first half of 6th century in Constantinople),Diptych panel (detail),500-50,Ivory,"Mus?e du Louvre, Paris",sculpture,religious,Other,0501-0550,This ivory diptych panel depicts the Emperor Triumphant.
13296,https://www.wga.hu/detail/zearly/1/1sculptu/various/6throne4.jpg,"EARLY CHRISTIAN SCULPTOR, Byzantine",(active mid-6th century),Throne of Maximianus (detail),545??3,Ivory,"Museo Arcivescovile, Ravenna",sculpture,religious,Other,0501-0550,The picture shows the Story of Joseph.
13297,https://www.wga.hu/detail/zearly/1/1sculptu/various/6throne5.jpg,"EARLY CHRISTIAN SCULPTOR, Byzantine",(active mid-6th century),Throne of Maximianus (detail),545??3,Ivory,"Museo Arcivescovile, Ravenna",sculpture,religious,Other,0501-0550,The picture shows two of the Evangelists on the front of the throne.
13298,https://www.wga.hu/detail/zearly/1/1sculptu/various/6throne6.jpg,"EARLY CHRISTIAN SCULPTOR, Byzantine",(active mid-6th century),Throne of Maximianus (detail),545??3,Ivory,"Museo Arcivescovile, Ravenna",sculpture,religious,Other,0501-0550,The picture shows two of the Evangelists on the front of the throne.
13315,https://www.wga.hu/detail/zearly/1/1sculptu/sarcopha/1/1jonah4.jpg,"EARLY CHRISTIAN SCULPTOR, Italian",(active late 3rd century in Rome),Sarcophagus of Jonah (detail),280s,Stone,"Museo Pio-Clementino, Vatican",sculpture,religious,Italian,0251-0300,The detail shows Moses striking water from the rock.
13318,https://www.wga.hu/detail/zearly/1/1sculptu/sarcopha/1/1jonah1.jpg,"EARLY CHRISTIAN SCULPTOR, Italian",(active late 3rd century in Rome),Sarcophagus of Jonah (detail),280s,Stone,"Museo Pio-Clementino, Vatican",sculpture,religious,Italian,0251-0300,The detail shows Jonah thrown from the ship
13319,https://www.wga.hu/detail/zearly/1/1sculptu/sarcopha/1/1jonah2.jpg,"EARLY CHRISTIAN SCULPTOR, Italian",(active late 3rd century in Rome),Sarcophagus of Jonah (detail),280s,Stone,"Museo Pio-Clementino, Vatican",sculpture,religious,Italian,0251-0300,The detail shows the whale disgorging Jonah.
13320,https://www.wga.hu/detail/zearly/1/1sculptu/sarcopha/1/1jonah3.jpg,"EARLY CHRISTIAN SCULPTOR, Italian",(active late 3rd century in Rome),Sarcophagus of Jonah (detail),280s,Stone,"Museo Pio-Clementino, Vatican",sculpture,religious,Italian,0251-0300,The detail shows Jonah under the gourd tree.
13322,https://www.wga.hu/detail/zearly/1/1sculptu/sarcopha/1/1jonah5.jpg,"EARLY CHRISTIAN SCULPTOR, Italian",(active late 3rd century in Rome),Sarcophagus of Jonah (detail),280s,Stone,"Museo Pio-Clementino, Vatican",sculpture,religious,Italian,0251-0300,The detail shows the resurrected Christ.
13328,https://www.wga.hu/detail/zearly/1/1sculptu/sarcopha/1/6bassus3.jpg,"EARLY CHRISTIAN SCULPTOR, Italian",(active around 349 in Rome),Sarcophagus of Junius Bassus (detail),349,Marble,"Museo Tresoro, Basilica di San Pietro, Vatican",sculpture,religious,Italian,0301-0350,The detail shows Enthroned Christ with Peter and Paul.
13329,https://www.wga.hu/detail/zearly/1/1sculptu/sarcopha/1/6bassus4.jpg,"EARLY CHRISTIAN SCULPTOR, Italian",(active around 349 in Rome),Sarcophagus of Junius Bassus (detail),349,Marble,"Museo Tresoro, Basilica di San Pietro, Vatican",sculpture,religious,Italian,0301-0350,The detail shows Trial of Christ before Pontius Pilatus.
13330,https://www.wga.hu/detail/zearly/1/1sculptu/sarcopha/1/6bassus5.jpg,"EARLY CHRISTIAN SCULPTOR, Italian",(active around 349 in Rome),Sarcophagus of Junius Bassus (detail),349,Marble,"Museo Tresoro, Basilica di San Pietro, Vatican",sculpture,religious,Italian,0301-0350,The detail shows Trial of Christ before Pontius Pilatus.
13337,https://www.wga.hu/detail/zearly/1/1sculptu/sarcopha/1/7passio4.jpg,"EARLY CHRISTIAN SCULPTOR, Italian",(active around 350 in Rome),Sarcophagus with scenes from the Passion of Christ (detail),c. 350,Marble,"Museo Pio Cristiano, Vatican",sculpture,religious,Italian,0301-0350,The picture shows the Procession of the Cross and Christ crowned with thorns.
13338,https://www.wga.hu/detail/zearly/1/1sculptu/sarcopha/1/7passio5.jpg,"EARLY CHRISTIAN SCULPTOR, Italian",(active around 350 in Rome),Sarcophagus with scenes from the Passion of Christ (detail),c. 350,Marble,"Museo Pio Cristiano, Vatican",sculpture,religious,Italian,0301-0350,The picture shows the scene of Christ before Pilate.
13394,https://www.wga.hu/detail/e/eckmann/woodcut.jpg,"ECKMANN, Otto","(b. 1865, Hamburg, d. 1902, Badenweiler)",Night Herons,1896,"Colour woodcut, printed in watercolour on Japanese vellum, 265 x 460 mm","Los Angeles County Museum of Art, Los Angeles",graphics,other,German,1851-1900,The subtitle of the image is Three Philosophers.
13412,https://www.wga.hu/detail/e/eertvelt/coastal.jpg,"EERTVELT, Andries van","(b. 1590, Antwerpen, d. 1652, Antwerpen)",Mediterranean Coastal Scene,-,"Oil on oak panel, 25 x 34 cm",Private collection,painting,landscape,Flemish,1601-1650,"The painting shows a Mediterranean coastal scene with a tower, ships, and figures on the shore."
13425,https://www.wga.hu/detail/e/egmont/portlady.jpg,"EGMONT, Justus van","(b. 1601, Leiden, d. 1674, Antwerpen)",Portrait of a Lady,-,"Oil on canvas, 125 x 98 cm",Private collection,painting,portrait,Flemish,1601-1650,"The lady beside a fountain, three-quarter length."
13430,https://www.wga.hu/detail/e/egeri/stained2.jpg,"EGERI, Carl von","(b. ca. 1510, ?, d. 1562, Z?rich)",Stained-Glass Panel,1542,"Coloured and transparent glass, 42 x 33 cm","The Hermitage, St. Petersburg",stained-glass,other,Swiss,1501-1550,This stained-glass panel represents coats of arms.
13442,https://www.wga.hu/detail/e/ekels/father/roodepoo.jpg,"EKELS, Jan the Elder","(b. 1724, Amsterdam, d. 1781, Amsterdam)",Roodepoort Tower,1766,Oil on panel,"Historisch Museum, Amsterdam",painting,landscape,Dutch,1751-1800,This painting shows a view of the tower.
13444,https://www.wga.hu/detail/e/ekels/father/viewams2.jpg,"EKELS, Jan the Elder","(b. 1724, Amsterdam, d. 1781, Amsterdam)",View of Amsterdam,-,"Oil on panel, 40 x 48 cm",Private collection,painting,landscape,Dutch,1751-1800,This view of Amsterdam shows young boys at play near the Haarlemmerpoort.
13548,https://www.wga.hu/detail/e/es/still_li.jpg,"ES, Jacob van","(b. ca. 1596, Antwerpen, d. 1666, Antwerpen)",still life,-,"Oil on oak panel, 19 x 25 cm",Private collection,painting,still life,Flemish,1601-1650,"This is a still life of cheese, a roemer of wine, a walnut, hazelnuts and two shrimps on a table-top."
13556,https://www.wga.hu/detail/e/espinosb/still_li.jpg,"ESPINOSA, Juan Bautista de","(b. ca. 1590, ?, d. ca. 1641, Madrid)",still life of Fruit,-,"Oil on canvas, 76 x 59 cm","Museo del Prado, Madrid",painting,still life,Spanish,1601-1650,"This picture represents a still life of apples, plums, grapes, and pears."
13571,https://www.wga.hu/detail/e/evenepoe/paris1.jpg,"EVENEPOEL, Henri","(b. 1872, Nice. d. 1899, Paris)",In the Caf? d'Harcourt in Paris,1897,"Oil on canvas, 114 x 148 cm","St?delsches Kunstinstitut, Frankfurt",painting,interior,Belgian,1851-1900,Scenes of contemporary Paris life.
13572,https://www.wga.hu/detail/e/evenepoe/paris2.jpg,"EVENEPOEL, Henri","(b. 1872, Nice. d. 1899, Paris)",At the Moulin Rouge,1897,"Oil on canvas, 73 x 60 cm","Museum of Fine Arts, Houston",painting,interior,Belgian,1851-1900,Scenes of contemporary Paris life.
13575,https://www.wga.hu/detail/e/everding/allaert/end_vill.jpg,"EVERDINGEN, Allaert van","(b. 1621, Alkmaar, d. 1675, Amsterdam)",End of Village,-,"Oil on canvas, 76 x 66,5 cm","Sz?pm?v?szeti M?zeum, Budapest",painting,landscape,Dutch,1651-1700,There are wooden houses and a stream.
13577,https://www.wga.hu/detail/e/everding/allaert/river_la.jpg,"EVERDINGEN, Allaert van","(b. 1621, Alkmaar, d. 1675, Amsterdam)",Mountainous River Landscape,c. 1660,"Oil on canvas, 83 x 110 cm",Private collection,painting,landscape,Dutch,1651-1700,"The picture shows a mountainous river landscape with travellers, a herder and sheep in the foreground, a mill on the far river-bank."
13603,https://www.wga.hu/detail/e/eyckbart/1cuer2.jpg,"EYCK, Barth?lemy d'",(active 1444-1469 in France),Ren? d'Anjou: Livre du cuer d'amours espris,1457-65,"Manuscript (Codex Vindobonensis 2597), 289 x 206 mm","?sterreichische Nationalbibliothek, Vienna",illumination,other,Flemish,1451-1500,"In the miniature, King Cuer is shown getting into a boat with his attendants."
13606,https://www.wga.hu/detail/e/eyckbart/2rene3.jpg,"EYCK, Barth?lemy d'",(active 1444-1469 in France),Ren? d'Anjou: The Book of Tournaments,c. 1460,"Manuscript (Ms. fran?ais 2695), 386 x 298 mm (folio size)","Biblioth?que Nationale, Paris",illumination,other,Flemish,1451-1500,This illustration shows the presentation of the flags and helms of a knightly tournament in a cloister.
13609,https://www.wga.hu/detail/e/eyckbart/3boccac2.jpg,"EYCK, Barth?lemy d'",(active 1444-1469 in France),Boccaccio: La Th?s?ide,c. 1469,"Manuscript (Ms. 2617), 266 x 200 mm (folio size)","?sterreichische Nationalbibliothek, Vienna",illumination,other,Flemish,1451-1500,The miniature depicts Theseus's triumphal procession through Athens.
13627,https://www.wga.hu/detail/e/eyck_van/jan/02page/16rolin2.jpg,"EYCK, Jan van","(b. before 1395, Maaseik, d. before 1441, Bruges)",The Madonna of Chancellor Rolin (detail),1435,Oil on wood,"Mus?e du Louvre, Paris",painting,religious,Flemish,1401-1450,"On the right, behind the Madonna, are the wealthy quarters, with a profusion of buildings, dominated by an imposing Gothic church."
13639,https://www.wga.hu/detail/e/eyck_van/jan/02page/251tript.jpg,"EYCK, Jan van","(b. before 1395, Maaseik, d. before 1441, Bruges)",Small Triptych (central panel),c. 1437,"Oil on oak, 27,5 x 21,5 cm","Gem?ldegalerie, Dresden",painting,religious,Flemish,1401-1450,The picture represents the Madonna and Child in a church.
13640,https://www.wga.hu/detail/e/eyck_van/jan/02page/252tript.jpg,"EYCK, Jan van","(b. before 1395, Maaseik, d. before 1441, Bruges)",Small Triptych (outer panels),c. 1437,"Oil on oak, 39 x 24 cm","Gem?ldegalerie, Dresden",painting,religious,Flemish,1401-1450,The panels represent the Angel and the Madonna of the Annunciation.
13654,https://www.wga.hu/detail/e/eyck_van/jan/09ghent/1open1/u3virgi1.jpg,"EYCK, Jan van","(b. before 1395, Maaseik, d. before 1441, Bruges)",The Ghent Altarpiece: Madonna (detail),1426-29,Oil on wood,"Cathedral of St Bavo, Ghent",painting,religious,Flemish,1401-1450,"The minute handling of jewels, crowns, brocades is superb."
13659,https://www.wga.hu/detail/e/eyck_van/jan/09ghent/1open1/u3virgi.jpg,"EYCK, Jan van","(b. before 1395, Maaseik, d. before 1441, Bruges)",The Ghent Altarpiece: Madonna,1426-29,"Oil on wood, 168,7 x 74,9 cm","Cathedral of St Bavo, Ghent",painting,religious,Flemish,1401-1450,On the panel left to God the Madonna is depicted.
13663,https://www.wga.hu/detail/e/eyck_van/jan/09ghent/1open1/u5john.jpg,"EYCK, Jan van","(b. before 1395, Maaseik, d. before 1441, Bruges)",The Ghent Altarpiece: St John the Baptist,1425-29,"Oil on wood, 168,1 x 75,1 cm","Cathedral of St Bavo, Ghent",painting,religious,Flemish,1401-1450,On the panel right to God is St John the Baptist.
13664,https://www.wga.hu/detail/e/eyck_van/jan/09ghent/1open1/u5john1.jpg,"EYCK, Jan van","(b. before 1395, Maaseik, d. before 1441, Bruges)",The Ghent Altarpiece: St John the Baptist (detail),1425-29,Oil on wood,"Cathedral of St Bavo, Ghent",painting,religious,Flemish,1401-1450,The detail shows St John the Baptist.
13675,https://www.wga.hu/detail/e/eyck_van/jan/09ghent/1open2/u6play1.jpg,"EYCK, Jan van","(b. before 1395, Maaseik, d. before 1441, Bruges)",The Ghent Altarpiece: Angels Playing Music (detail),1426-27,Oil on wood,"Cathedral of St Bavo, Ghent",painting,religious,Flemish,1401-1450,The detail shows the angel playing organ.
13678,https://www.wga.hu/detail/e/eyck_van/jan/09ghent/1open2/u6play4.jpg,"EYCK, Jan van","(b. before 1395, Maaseik, d. before 1441, Bruges)",The Ghent Altarpiece: Angels Playing Music (detail),1426-27,Oil on wood,"Cathedral of St Bavo, Ghent",painting,religious,Flemish,1401-1450,The detail shows the angel playing organ.
13681,https://www.wga.hu/detail/e/eyck_van/jan/09ghent/1open3/l2soldi1.jpg,"EYCK, Jan van","(b. before 1395, Maaseik, d. before 1441, Bruges)",The Ghent Altarpiece: The Soldiers of Christ (detail),1427-30,"Oil on wood, height of detail: 39,5 cm","Cathedral of St Bavo, Ghent",painting,religious,Flemish,1401-1450,The detail shows two horsemen.
13683,https://www.wga.hu/detail/e/eyck_van/jan/09ghent/1open3/l3adora7.jpg,"EYCK, Jan van","(b. before 1395, Maaseik, d. before 1441, Bruges)",The Ghent Altarpiece: Adoration of the Lamb (detail),1425-29,"Oil on wood, height of detail: 26 cm","Cathedral of St Bavo, Ghent",painting,religious,Flemish,1401-1450,The detail shows the Confessors of the Faith.
13687,https://www.wga.hu/detail/e/eyck_van/jan/09ghent/1open3/l4hermi.jpg,"EYCK, Jan van","(b. before 1395, Maaseik, d. before 1441, Bruges)",The Ghent Altarpiece: The Holy Hermits,1427-30,"Oil on wood, 148,6 x 53,9 cm","Cathedral of St Bavo, Ghent",painting,religious,Flemish,1401-1450,Opposite to the Soldiers of Christ and the Just Judges are the Holy Hermits.
13693,https://www.wga.hu/detail/e/eyck_van/jan/09ghent/2closed1/u1annun2.jpg,"EYCK, Jan van","(b. before 1395, Maaseik, d. before 1441, Bruges)",The Ghent Altarpiece: Prophet Zacharias,1432,Oil on wood,"Cathedral of St Bavo, Ghent",painting,religious,Flemish,1401-1450,Prophets Zacharias and Michas.
13700,https://www.wga.hu/detail/e/eyck_van/jan/09ghent/2closed1/u4annun2.jpg,"EYCK, Jan van","(b. before 1395, Maaseik, d. before 1441, Bruges)",The Ghent Altarpiece: Prophet Micheas,1432,Oil on wood,"Cathedral of St Bavo, Ghent",painting,religious,Flemish,1401-1450,Prophets Zacharias and Michas.
13819,https://www.wga.hu/detail/f/fantacch/young.jpg,"FANTACCHIOTTI, Odoardo","(b. 1811, Roma, d. 1877, Firenze)",Young Girl Holding Grapes and a Bird,-,"White marble, height 92 cm",Private collection,sculpture,genre,Italian,1801-1850,Marble sculpture of a young child. 
